Version5;
DISPLAY\wATV10nt	FORCED\5x86\82810_6.13.01.3196\	wtv5.inf	Intel.Mfg	1	07/23/2002	Intel(r) AIM External TV Encoder Driver 5
PCI\VEN_8086&DEV_27AE	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Mobile Intel(R) 945 Express Chipset Family
PCI\VEN_8086&DEV_27AE	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Mobile Intel(R) 945 Express Chipset Family
PCI\VEN_8086&DEV_27AE	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2992	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2992	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2992	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2992	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2992	FORCED\5x86\Express915_6.14.10.4764\	igxp32.inf	Intel.Mfg	1	01/13/2007,6.14.10.4764	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2992	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2993	FORCED\5x86\Express915_6.14.10.4764\	igxp32.inf	Intel.Mfg	1	01/13/2007,6.14.10.4764	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2993	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2993	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2993	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2993	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R)  Q965/Q963 Express Chipset Family
PCI\VEN_8086&DEV_2993	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Intel(R)  Q965/Q963 Express Chipset Family
DISPLAY\wCh7xxNT	FORCED\5x86\82810_6.13.01.3196\	wtv4.inf	Intel.Mfg	1	07/23/2002	Intel(r) AIM External TV Encoder Driver 4
PCI\VEN_8086&DEV_2A43	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A43	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A43	FORCED\5x64\Express40_6.14.10.5355\	igxp64.inf	Intel.Mfg.NTamd64	1	04/22/2011,6.14.10.5355	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A43	FORCED\5x86\ExpressHD_6.14.10.5417\	kit45888.inf	Intel.Mfg	1	06/15/2012,6.14.10.5417	Mobile Intel(R) 4 Series Express Chipset Family
PCI\VEN_8086&DEV_2A43	FORCED\5x86\Express40_6.14.10.5420\	kit47725.inf	Intel.Mfg	1	07/23/2012,6.14.10.5420	Mobile Intel(R) 4 Series Express Chipset Family
