Version5;
Monitor\VSC3F20	ViewSonic\Allx64\	VS120924_l17.inf	ViewSonic.NTamd64	0	09/24/2012,1.5.2.55	ViewSonic VA1721wmb-2
Monitor\VSC3F24	ViewSonic\6x86\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\6x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\5x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\6x86\VX2739wm\	VX2739wm.inf	ViewSonic	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\5x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\GSM9D50	LG\WinAll\	M4212C.inf	LG	1	02/26/2008,1.3	LG M4212C(Digital)
Monitor\VSC3F24	ViewSonic\6x86\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\7x86\VX2739wm\	VX2739wm.inf	ViewSonic	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\Allx64\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\Allx86\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VX2739 Series
Monitor\VSC3F24	ViewSonic\6x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\7x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\6x64\VX2739wm\	VX2739wm.inf	ViewSonic	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\7x64\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\5x64\VX2739wm\	VX2739wm.inf	ViewSonic	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\7x64\VX2739wm\	VX2739wm.inf	ViewSonic	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F24	ViewSonic\7x86\VX2739wm\	VX2739wm.inf	ViewSonic.NTamd64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\GSM9D50	LG\WinAll\	M4212C.inf	LG.NTamd64	1	02/26/2008,1.3	LG M4212C(Digital)
Monitor\VSC3F24	ViewSonic\7x86\VX2739wm\	VX2739wm.inf	ViewSonic.NTia64	1	06/23/2009,1.5.0.0	ViewSonic VX2739wm
Monitor\VSC3F1F	ViewSonic\Allx64\	VS130114_pl_prj.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.72	ViewSonic PJ508D
Monitor\VSC3F1F	ViewSonic\Allx86\	VS130114_pl_prj.inf	ViewSonic	0	01/14/2013,1.5.2.72	ViewSonic PJ508D
Monitor\VSC3F1F	ViewSonic\Allx86\	VS130114_pl_prj.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.72	ViewSonic PJ508D
Monitor\VSC3F1F	ViewSonic\Allx86\	VS130114_pl_prj.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.72	ViewSonic PJ508D
Monitor\VSC3F1F	ViewSonic\Allx64\	VS130114_pl_prj.inf	ViewSonic	0	01/14/2013,1.5.2.72	ViewSonic PJ508D
Monitor\VSC3F1F	ViewSonic\Allx64\	VS130114_pl_prj.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.72	ViewSonic PJ508D
Monitor\HWP12BC	HP\WinAll\	HPP4796.inf	HWP	1	09/09/2001,1.2	hp pavilion v50c
Monitor\VSC211C	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic VA902 Series
Monitor\VSC211C	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic VA902 Series
Monitor\VSC211C	ViewSonic\5x86\VA902b\	VA902b.inf	ViewSonic	1	08/02/2005,1.5.0.0	ViewSonic VA902b
Monitor\VSC211C	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic VA902 Series
Monitor\VSC211C	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic VA902 Series
Monitor\VSC211C	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic VA902 Series
Monitor\VSC211C	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic VA902 Series
Monitor\VSCAB01	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic.NTia64	0	07/19/2006,1.4.0.28	ViewSonic E90-2
Monitor\VSCAB01	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic.NTamd64	0	07/19/2006,1.4.0.28	ViewSonic E90-2
Monitor\VSCAB01	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic	0	07/19/2006,1.4.0.28	ViewSonic E90-2
Monitor\VSCAB01	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic	0	07/19/2006,1.4.0.28	ViewSonic E90-2
Monitor\VSCAB01	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic.NTia64	0	07/19/2006,1.4.0.28	ViewSonic E90-2
Monitor\VSCAB01	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic.NTamd64	0	07/19/2006,1.4.0.28	ViewSonic E90-2
Monitor\VSCF205	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic.NTia64	0	07/19/2006,1.4.0.28	ViewSonic A90-3
Monitor\VSCF205	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic.NTamd64	0	07/19/2006,1.4.0.28	ViewSonic A90-3
Monitor\VSCF205	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic	0	07/19/2006,1.4.0.28	ViewSonic A90-3
Monitor\VSCF205	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic.NTia64	0	07/19/2006,1.4.0.28	ViewSonic A90-3
Monitor\VSCF205	ViewSonic\Allx86\	VS060719_c19.inf	ViewSonic.NTamd64	0	07/19/2006,1.4.0.28	ViewSonic A90-3
Monitor\VSCF205	ViewSonic\Allx64\	VS060719_c19.inf	ViewSonic	0	07/19/2006,1.4.0.28	ViewSonic A90-3
USB\VID_0AC8&PID_0302&MI_00	BENQ\WinAll\	WebCam.inf	VM.NT	0	09/22/2003,4.2.0922.70 	Web Camera
USB\VID_0AC8&PID_0302&MI_00	BENQ\WinAll\	WebCam.inf	VM	0	09/22/2003,4.2.0922.70 	Web Camera
USB\VID_0AC8&PID_0302&MI_01	BENQ\WinAll\	VMMicFl.inf	Vimicro	0	02/26/2002,4.2.226.19	Web Camera Microphone
USB\VID_0AC8&PID_0302&MI_01	BENQ\WinAll\	VMAud98.inf	VMCam	0	06/28/2000	Web Camera Microphone
USB\VID_0AC8&PID_0302&MI_01	BENQ\WinAll\	VMMicFl.inf	Vimicro.NT	0	02/26/2002,4.2.226.19	Web Camera Microphone
USB\VID_0AC8&PID_0302&MI_01	BENQ\WinAll\	VMAudME.inf	Microsoft	0	06/08/2000,5.50.5080.1	Web Camera Microphone
Monitor\SAM081B	Samsung\WinAll\	SM400BX.inf	Samsung.NTAMD64	1	01/13/2011 ,3.0	SyncMaster 400BX (Digital)
Monitor\SAM081B	Samsung\WinAll\	SM400BX.inf	Samsung	1	01/13/2011 ,3.0	SyncMaster 400BX (Digital)
Monitor\SAM081B	Samsung\WinAll\	SM400BX.inf	Samsung.NTx86	1	01/13/2011 ,3.0	SyncMaster 400BX (Digital)
Monitor\VSC0920	ViewSonic\Allx64\	VS110815_l30.inf	ViewSonic.NTia64	0	08/15/2011,1.5.2.74	ViewSonic N3735w
Monitor\VSC0920	ViewSonic\Allx86\	VS110815_l30.inf	ViewSonic.NTia64	0	08/15/2011,1.5.2.74	ViewSonic N3735w
Monitor\VSC0920	ViewSonic\Allx86\	VS110815_l30.inf	ViewSonic.NTamd64	0	08/15/2011,1.5.2.74	ViewSonic N3735w
Monitor\VSC0920	ViewSonic\Allx64\	VS110815_l30.inf	ViewSonic	0	08/15/2011,1.5.2.74	ViewSonic N3735w
Monitor\VSC0920	ViewSonic\Allx64\	VS110815_l30.inf	ViewSonic.NTamd64	0	08/15/2011,1.5.2.74	ViewSonic N3735w
Monitor\VSC0920	ViewSonic\Allx86\	VS110815_l30.inf	ViewSonic	0	08/15/2011,1.5.2.74	ViewSonic N3735w
Monitor\VSC0922	ViewSonic\Allx64\	VS110815_l30.inf	ViewSonic.NTia64	0	08/15/2011,1.5.2.74	ViewSonic N3290w-G
Monitor\VSC0922	ViewSonic\Allx64\	VS110815_l30.inf	ViewSonic	0	08/15/2011,1.5.2.74	ViewSonic N3290w-G
Monitor\VSC0922	ViewSonic\Allx86\	VS110815_l30.inf	ViewSonic.NTia64	0	08/15/2011,1.5.2.74	ViewSonic N3290w-G
Monitor\VSC0922	ViewSonic\Allx86\	VS110815_l30.inf	ViewSonic	0	08/15/2011,1.5.2.74	ViewSonic N3290w-G
Monitor\VSC0922	ViewSonic\Allx64\	VS110815_l30.inf	ViewSonic.NTamd64	0	08/15/2011,1.5.2.74	ViewSonic N3290w-G
Monitor\VSC0922	ViewSonic\Allx86\	VS110815_l30.inf	ViewSonic.NTamd64	0	08/15/2011,1.5.2.74	ViewSonic N3290w-G
Monitor\SAM081A	Samsung\WinAll\	SM400BX.inf	Samsung.NTx86	1	01/13/2011 ,3.0	SyncMaster 400BX (Analog)
Monitor\SAM081A	Samsung\WinAll\	SM400BX.inf	Samsung	1	01/13/2011 ,3.0	SyncMaster 400BX (Analog)
Monitor\SAM081A	Samsung\WinAll\	SM400BX.inf	Samsung.NTAMD64	1	01/13/2011 ,3.0	SyncMaster 400BX (Analog)
Monitor\VSC3F08	ViewSonic\Allx64\	VS120924_l17.inf	ViewSonic	0	09/24/2012,1.5.2.55	ViewSonic VG750
Monitor\VSC3F08	ViewSonic\Allx64\	VS120924_l17.inf	ViewSonic.NTamd64	0	09/24/2012,1.5.2.55	ViewSonic VG750
Monitor\VSC3F08	ViewSonic\Allx86\	VS120924_l17.inf	ViewSonic	0	09/24/2012,1.5.2.55	ViewSonic VG750
Monitor\VSC3F08	ViewSonic\Allx86\	VS120924_l17.inf	ViewSonic.NTia64	0	09/24/2012,1.5.2.55	ViewSonic VG750
Monitor\VSC3F08	ViewSonic\5x86\VG750\	VG750-1.inf	ViewSonic	0	07/30/2002,1.5.0.0	ViewSonic VG750
