Version5;
PCI\VEN_1002&DEV_7187&SUBSYS_30001462	Legacy\5x64\10.2\	CA_95952.inf	ATI.Mfg.NTamd64	1	02/10/2010,8.593.100.0000	MSI Radeon X1550 Series 
PCI\VEN_1002&DEV_7187&SUBSYS_30001462	Legacy\6x64\10.2\	CH_95951.inf	ATI.Mfg.NTamd64.6.0	1	02/10/2010,8.593.100.0000	MSI Radeon X1550 Series 
PCI\VEN_1002&DEV_7187&SUBSYS_30001462	Legacy\5x86\10.2\	CX_95952.inf	ATI.Mfg.NTx86	1	02/10/2010,8.593.100.0000	MSI Radeon X1550 Series 
PCI\VEN_1002&DEV_7187&SUBSYS_30001462	Legacy\6x86\10.2\	CL_95951.inf	ATI.Mfg.NTx86.6.0	1	02/10/2010,8.593.100.0000	MSI Radeon X1550 Series 
PCI\VEN_1002&DEV_556D&SUBSYS_0661174B	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	Sapphire RADEON X800XL Secondary 
PCI\VEN_1002&DEV_7187&SUBSYS_30001462	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	MSI Radeon X1550 Series 
PCI\VEN_1002&DEV_4151&SUBSYS_201317AF	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	Hightech  RADEON 9600SE
PCI\VEN_1002&DEV_7142&SUBSYS_2163148C	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	Tul Corporation, RADEON  X1300 Series
PCI\VEN_1002&DEV_7129&SUBSYS_0D031002	Legacy\5x64\10.2\	CA_95952.inf	ATI.Mfg.NTamd64	1	02/10/2010,8.593.100.0000	Radeon X1800 CrossFire Edition Secondary
PCI\VEN_1002&DEV_7129&SUBSYS_0D031002	Legacy\6x86\10.2\	CL_95951.inf	ATI.Mfg.NTx86.6.0	1	02/10/2010,8.593.100.0000	Radeon X1800 CrossFire Edition Secondary
PCI\VEN_1002&DEV_7129&SUBSYS_0D031002	Legacy\5x86\10.2\	CX_95952.inf	ATI.Mfg.NTx86	1	02/10/2010,8.593.100.0000	Radeon X1800 CrossFire Edition Secondary
PCI\VEN_1002&DEV_7129&SUBSYS_0D031002	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	Radeon X1800 CrossFire Edition Secondary
PCI\VEN_1002&DEV_7129&SUBSYS_0D031002	Legacy\6x64\10.2\	CH_95951.inf	ATI.Mfg.NTamd64.6.0	1	02/10/2010,8.593.100.0000	Radeon X1800 CrossFire Edition Secondary
PCI\VEN_1002&DEV_4150&SUBSYS_415012AB	Legacy\5x86\9.2\	CX_75974.inf	ATI.Mfg.NTx86	1	02/03/2009,8.582.0.0000	YUAN RADEON 9600
