Version5;
Monitor\VSC611E	ViewSonic\6x86\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\7x64\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\6x86\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic.NTx86	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\WinAll\	VS060605_l15.inf	ViewSonic	0	06/05/2006,1.4.0.33	ViewSonic VA503-2 Series
Monitor\VSC611E	ViewSonic\6x64\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\7x64\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic.NTAMD64	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\7x86\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic.NTAMD64	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\7x64\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic.NTx86	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\7x86\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic.NTx86	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\WinAll\	VS060605_l15.inf	ViewSonic.NTamd64	0	06/05/2006,1.4.0.33	ViewSonic VA503-2 Series
Monitor\VSC611E	ViewSonic\6x64\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic.NTx86	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\VSC611E	ViewSonic\7x86\VA503-2_Series\	VA503-2SERIES.INF	ViewSonic	1	12/01/2006,1.0	ViewSonic VA503-2SERIES 
Monitor\SAM0248	Samsung\WinAll\	SM971P.inf	Samsung.NTAMD64	1	01/26/2007,2.0	SyncMaster 971P,SyncMaster Magic CX913P/CX971P(Digital)
Monitor\SAM0248	Samsung\WinAll\	SM971P.inf	Samsung	1	01/26/2007,2.0	SyncMaster 971P,SyncMaster Magic CX913P/CX971P(Digital)
Monitor\SAM0248	Samsung\WinAll\	SM971P.inf	Samsung.NTx86	1	01/26/2007,2.0	SyncMaster 971P,SyncMaster Magic CX913P/CX971P(Digital)
Monitor\SAM0247	Samsung\WinAll\	SM971P.inf	Samsung.NTAMD64	1	01/26/2007,2.0	SyncMaster 971P,SyncMaster Magic CX913P/CX971P(Analog)
Monitor\SAM0247	Samsung\WinAll\	SM971P.inf	Samsung.NTx86	1	01/26/2007,2.0	SyncMaster 971P,SyncMaster Magic CX913P/CX971P(Analog)
Monitor\SAM0247	Samsung\WinAll\	SM971P.inf	Samsung	1	01/26/2007,2.0	SyncMaster 971P,SyncMaster Magic CX913P/CX971P(Analog)
Monitor\SAM0258	Samsung\WinAll\	SM931C.inf	Samsung	1	02/20/2007,2.0	SyncMaster 931C, SyncMaster Magic CX930B(Analog)
Monitor\SAM0258	Samsung\WinAll\	SM931C.inf	Samsung.NTx86	1	02/20/2007,2.0	SyncMaster 931C, SyncMaster Magic CX930B(Analog)
Monitor\SAM0258	Samsung\WinAll\	SM931C.inf	Samsung.NTAMD64	1	02/20/2007,2.0	SyncMaster 931C, SyncMaster Magic CX930B(Analog)
Monitor\SAM0259	Samsung\WinAll\	SM931C.inf	Samsung.NTx86	1	02/20/2007,2.0	SyncMaster 931C, SyncMaster Magic CX930B(Digital)
Monitor\SAM0259	Samsung\WinAll\	SM931C.inf	Samsung	1	02/20/2007,2.0	SyncMaster 931C, SyncMaster Magic CX930B(Digital)
Monitor\SAM0259	Samsung\WinAll\	SM931C.inf	Samsung.NTAMD64	1	02/20/2007,2.0	SyncMaster 931C, SyncMaster Magic CX930B(Digital)
Monitor\GWY05F2	GTW\WinAll\	05F2.inf	Gateway	1	09/27/2001,1.1	Gateway FPD1520
Monitor\GWY05F2	Gateway\WinAll\	05F2.inf	Gateway	1	09/27/2001,1.1	Gateway FPD1520
Monitor\GWY05F0	Gateway\WinAll\	05F0.INF	Gateway	1	09/13/2001,1.1.1.1	Gateway FPD1520
Monitor\GWY05F0	GTW\WinAll\	05F0.INF	Gateway	1	09/13/2001,1.1.1.1	Gateway FPD1520
Monitor\GWY05F1	Gateway\WinAll\	05F1.inf	Gateway	1	07/02/2001,09.07.1.0	FPD1520
Monitor\GWY05F1	GTW\WinAll\	05F1.inf	Gateway	1	07/02/2001,09.07.1.0	FPD1520
Monitor\VSCA519	ViewSonic\WinAll\	VS130319_pl_prj.inf	ViewSonic	0	03/19/2013,1.5.2.73	ViewSonic PJ1165
Monitor\SAM0252	Samsung\WinAll\	SM741MP.inf	Samsung	1	05/17/2006,2.0	SyncMaster 741MP
Monitor\VSCA519	ViewSonic\WinAll\	VS130114_pl_prj.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.72	ViewSonic PJ1165
Monitor\VSCA519	ViewSonic\WinAll\	VS130530_pl_prj.inf	ViewSonic.NTamd64	0	05/30/2013,1.5.2.74	ViewSonic PJ1165
