Version5;
HID\VID_1B96&PID_0006&mi_01&col01	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Pen HID device
HID\VID_1B96&PID_0006&mi_01&col03	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Touch HID device
HID\VID_1B96&PID_0006&mi_01&col03	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Touch HID device
HID\VID_1B96&PID_0006&mi_01&Col02	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense MultiTouch HID device
HID\VID_1B96&PID_0006&mi_01&Col02	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense MultiTouch HID device
USB\VID_04ce&PID_07d1	Identix\Allx86\	DfrUsb.inf	Identix_Incorporated	1	09/15/2003,1.1.18.0	DFR-200 USB Fingerprint Reader
USB\VID_1B96&PID_0006&REV_7100	N-Trig\FORCED\7x64\0006.7\	NtrigDigi.Inf	Standard.NTAMD64.6.1.1	0	03/13/2011,4.6.7100.22	N-trig DuoSense Composite Root interface
USB\VID_1B96&PID_0006&REV_7100	N-Trig\FORCED\5x86\0006.7\	ntrigdigi.inf	Standard.NTx86	0	05/17/2011,5.6.7100.8	N-trig DuoSense Composite Root interface
USB\VID_1B96&PID_0006&REV_7100	N-Trig\FORCED\7x86\0006.7\	ntrigdigi.inf	Standard.NTx86.6.1.1	0	03/13/2011,4.6.7100.22	N-trig DuoSense Composite Root interface
HID\VID_1B96&PID_001A&mi_00	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID device
USB\VID_138A&PID_0010	VS\WinAll\ALL\	vfs_0010.inf	Validity.NTx86	1	07/05/2013,2.3.0.0	Variable: USB\vfsSensor.DeviceDesc
USB\VID_138A&PID_0010	VS\WinAll\ALL\	vfs_0010.inf	Validity.NTamd64	1	07/05/2013,2.3.0.0	Variable: USB\vfsSensor.DeviceDesc
USB\VID_138A&PID_0010	VS\FORCED\NTx86\WBF_0010_DRV\	wbf_vfs_0010.inf	Validity.NTamd64	1	08/27/2013,4.5.232.0	Variable: VfsUsbDeviceName0010
USB\VID_138A&PID_0010	VS\FORCED\NTx64\WBF_0010_DRV\	wbf_vfs_0010.inf	Validity.NTx86	1	09/04/2013,4.5.234.00	Variable: VfsUsbDeviceName0010
HID\VID_1B96&PID_001A&mi_00	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID device
USB\VID_138A&PID_0010	VS\FORCED\NTx86\WBF_0010_DRV\	wbf_vfs_0010.inf	Validity.NTx86	1	08/27/2013,4.5.232.0	Variable: VfsUsbDeviceName0010
USB\VID_138A&PID_0010	VS\FORCED\NTx64\WBF_0010_DRV\	wbf_vfs_0010.inf	Validity.NTamd64	1	09/04/2013,4.5.234.00	Variable: VfsUsbDeviceName0010
USB\VID_138A&PID_0011	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTx86	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\FORCED\NTx86\WBF_0011_DRV\	wbf_vfs_0011.inf	Validity.NTx86	1	07/17/2013,4.5.226.0	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\FORCED\NTx64\WBF_0011_DRV\	wbf_vfs_0011.inf	Validity.NTx86	1	07/17/2013,4.5.226.0	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\FORCED\NTx64\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTamd64	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\FORCED\NTx64\WBF_0011_DRV\	wbf_vfs_0011.inf	Validity.NTamd64	1	07/17/2013,4.5.226.0	Variable: VfsUsbDeviceName0011
USB\VID_138A&PID_0011	VS\FORCED\NTx86\WBF_0011_DRV\	wbf_vfs_0011.inf	Validity.NTamd64	1	07/17/2013,4.5.226.0	Variable: VfsUsbDeviceName0011
